social,dataset,varname,varcode,vartype,range_min,range_max,file,dir,unit,description,duplicate category,multiplier
safety,QoG,Extrajudicial Killing,ciri_kill,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,ordinal,"Extrajudicial Killing (1981-2011). Extrajudicial killings are killings by government o cials without due process of law. They include murders by private groups if instigated by government. These killings may result from the deliberate, illegal, and excessive use of lethal force by the police, security forces, or other agents of the state whether against criminal suspects, detainees, prisoners, or others. A score of 0 indicates that extrajudicial killings were practiced frequently in a given year; a score of 1 indicates that extrajudicial killings were practiced occasionally; and a score of 2 indicates that such killings did not occur in a given year.",,1
safety,QoG,Physical Integrity Rights Index,ciri_physint,ordinal,0,8,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,ordinal,"Physical Integrity Rights Index (1981-2011). This is an additive index constructed from the Torture, Extrajudicial Killing, Political Imprisonment, and Disappearance indicators. It ranges from 0 (no government respect for these four rights) to 8 (full government respect for these four rights).",,1
safety,QoG,Torture,ciri_tort,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,ordinal,"Torture (1981-2011). Torture refers to the purposeful in icting of extreme pain, whether mental or physical, by government o cials or by private individuals at the instigation of government o cials. Torture includes the use of physical and other force by police and prison guards that is cruel, inhuman, or degrading. This also includes deaths in custody due to negligence by government o cials. A score of 0 indicates that torture was practiced frequently in a given year; a score of 1 indicates that torture was practiced occasionally; and a score of 2 indicates that torture did not occur in a given year.",,1
safety,QoG,Political Terror Scale - Amnesty International,gd_ptsa,ordinal,5,1,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,ordinal,"Political Terror Scale - Amnesty International (N=188, 1976-2012, [1:5]). Political Terror Scale Levels: 5. Terror has expanded to the whole population. The leaders of these societies place no limits on the means or thoroughness with which they pursue personal or ideological goals. 4. Civil and political rights violations have expanded to large numbers of the population. Murders, disappearances,and torture are a common part of life. In spite of its generality, on this level terror aects those who interest themselves in politics or ideas. 3. There is extensive political imprisonment, or a recent history of such imprisonment. Execution or other political murders and brutality may be common. Unlimited detention, with or without a trial, forpolitical views is accepted. 2. There is a limited amount of imprisonment for nonviolent political activity. However, few persons are aected, torture and beatings are exceptional. Political murder is rare. 1. Countries under a secure rule of law, people are not imprisoned for their view, and torture is rare or exceptional. Political murders are extremely rare.",,-1
safety,QoG,Political Terror Scale - US State Department,gd_ptss,ordinal,5,1,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,ordinal,"Political Terror Scale - US State Department (N=188, 1976-2012, [1:5]). Political Terror Scale Levels: 5. Terror has expanded to the whole population. The leaders of these societies place no limits on the means or thoroughness with which they pursue personal or ideological goals. 4. Civil and political rights violations have expanded to large numbers of the population. Murders, disappearances,and torture are a common part of life. In spite of its generality, on this level terror aects those who interest themselves in politics or ideas. 3. There is extensive political imprisonment, or a recent history of such imprisonment. Execution or other political murders and brutality may be common. Unlimited detention, with or without a trial, forpolitical views is accepted. 2. There is a limited amount of imprisonment for nonviolent political activity. However, few persons are aected, torture and beatings are exceptional. Political murder is rare. 1. Countries under a secure rule of law, people are not imprisoned for their view, and torture is rare or exceptional. Political murders are extremely rare.",,-1
education,QoG,"Average Schooling Years, Female and Male (25+)",bl_asy25mf,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Average Schooling Years, Female and Male (25+) (1950-2010, every 5 years)",,1
education,QoG,"Average Schooling Years, Female (25+)",bl_asy25f,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Average Schooling Years, Female (25+) (1950-2010, every 5 years)",,1
education,QoG,"Duration, compulsory education",une_durce,discrete,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Duration, compulsory education (N=183,1998-2013). Duration, compulsory education.",,1
education,QoG,"Duration, primary",une_durp,discrete,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Duration, primary (N=195,1998-2013). Duration, primary education.",,1
education,QoG,"Duration, pre-primary",une_durpp,discrete,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Duration, pre-primary (N=195,1998-2013). Duration, pre-primary.",,1
education,QoG,"Duration, secondary",une_durs,discrete,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Duration, secondary (N=195,1998-2013). Duration, secondary.",,1
education,QoG,"Gross enrollment ratio, pre-primary, total",une_gerppt,ratio,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Gross enrollment ratio, pre-primary, total (N=188, 1970-2013). Gross enrollment ratio, pre-primary, total.",,1
education,QoG,"Gross enrollment ratio, primary, total",une_gerpt,ratio,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Gross enrollment ratio, primary, total (N=188, 1970-2013). Gross enrollment ratio, primary, total.",,1
education,QoG,"Gross enrollment ratio, secondary, total",une_gerst,ratio,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Gross enrollment ratio, secondary, total (N=188, 1970-2013). Gross enrollment ratio, secondary, total.",,1
health,QoG,HIV rate in adults (15-49 years),une_hiv,rate,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"HIV rate in adults (15-49 years) (N=146, 1999-2011). HIV rate in adults (15-49 years).",,-1
health,QoG,Infant mortality rate,une_imr,rate,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Infant mortality rate (N=190, 1999-2011). Infant mortality rate.",,-1
health,QoG,Life expectancy at birth,une_leb,con,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Life expectancy at birth (N=186, 1999-2011). Life expectancy at birth.",,1
health,QoG,"Mortality rate, under-5 (per 1,000 live births)",wdi_mortuf,rate,high,low,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Mortality rate, under-5 (per 1,000 live births) (N=196, 1960-2012). Under-fi ve mortality rate is the probability per 1,000 that a newborn baby will die before reaching age  ve, if subject to current age-speci c mortality rates.",,-1
voice,QoG,Freedom of Assembly and Association,ciri_assn,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom of Assembly and Association (1981-2011). It is an internationally recognized right of citizens to assemble freely and to associate with other persons in political parties, trade unions, cultural organizations, or other special-interest groups. This variable indicates the extent to which the freedoms of assembly and association are subject to actual governmental limitations or restrictions (as opposed to strictly legal protections). A score of 0 indicates that citizens’ rights to freedom of assembly or association were severely restricted or denied completely to all citizens; a score of 1 indicates that these rights were limited for all citizens or severely restricted or denied for select groups; and a score of 2 indicates that these rights wer virtually unrestricted and freely enjoyed by practically all citizens in a given year.",,1
voice,QoG,Empowerment Rights Index (New),ciri_empinx_new,ordinal,0,14,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Empowerment Rights Index (New) (1981-2011). This is an additive index constructed from the Foreign Movement, Domestic Movement, Freedom of Speech, Freedom of Assembly and Association, Workers’ Rights, Electoral Self-Determination, and Freedom of Religion indicators. It ranges from 0 (no government respect for these seven rights) to 14 (full government respect for these seven rights).",,1
voice,QoG,Empowerment Rights Index (Old),ciri_empinx_old,ordinal,0,10,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Empowerment Rights Index (Old) (1981-2011). This is an additive index constructed from the Freedom of Movement, Freedom of Speech, Workers’ Rights, Political Participation, and Freedom of Religion indicators. It ranges from 0 (no government respect for these  ve rights) to 10 (full government respect for these  ve rights). Note: Starting wit hthe 2007 coding, this variable was retired in favor of the newer index ciri_empinx_new.",,1
voice,QoG,Political Imprisonment,ciri_polpris,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Political Imprisonment (1981-2011). Political imprisonment refers to the incarceration of people by government o cials because of their speech; their non-violent opposition to government policies or leaders; their religious beliefs; their non-violent religious practices including proselytizing; or their membership in a group, including an ethnic or racial group. A score of 0 indicates that there were many people imprisoned because of their religious, political, or other beliefs in a given year; a score of 1 indicates that a few people were imprisoned; and a score of 2 indicates that no persons were imprisoned for any of the above reasons in a given year.",,1
voice,QoG,Freedom of Speech,ciri_speech,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom of Speech (1981-2011). This variable indicates the extent to which freedoms of speech and press are aected by government censorship, including ownership of media outlets. Censorship is any form of restriction that is placed on freedom of the press, speech or expression. Expression may be in the form of art or music. A score of 0 indicates that government censorship of the media was complete; a score of 1 indicates that there was some government censorship of the media; and a score of 2 indicates that there was no government censorship of the media in a given year.",,1
voice,QoG,Civil Liberties,fh_cl,ordinal,7,1,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Civil Liberties (N=207, 1972-2012, [1:7])Civil liberties allow for the freedoms of expression and belief, associational and organizational rights, rule of law, and personal autonomy without interference from the state. The more speci c list of rights considered vary over the years. Countries are graded between 1 (most free) and 7 (least free).",,-1
voice,QoG,"Freedom of the Press, Score",fh_fotpsc5,con,100,0,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom of the Press, Score (2001-2012) (N=196, 2001-2012, [0:100]) The press freedom index is computed by adding three component ratings: Laws and regulations, Political pressures and controls and Economic In uences. The scale ranges from 0 (most free) to 100 (least free).",,-1
voice,QoG,Press Freedom Index,rsf_pfi,con,100,0,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Press Freedom Index The Press Freedom index measures the amount of freedom journalists and the media have in each country and the eorts made by governments to see that press freedom is respected. It does not take account of all human rights violations, only those that aect press freedom. Neither is it an indicator of the quality of a country’s media. Note: With the exception of the year 2012 the index ranges between 0 (total press freedom) and 100 (no press freedom). However for the 2012 data release RSF changed the scale so that negative values can be and indeed are assigned to countries with more press freedom. We have decided leave the data as is.",,-1
resilience,,,,,,,,,,,,
social equity,Wbpoverty,Income share held by lowest 10 % quantile,SI.DST.FRST.10,ratio,0,100,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,pct,"Income share held by lowest 10 % quantile (World Bank poverty data, estimates 1980’s to 2010’s)",,1
social equity,Wbpoverty,Income share held by lowest 20 % quantile,SI.DST.FRST.20,ratio,0,100,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,pct,"Income share held by lowest 20 % quantile (World Bank poverty data, estimates 1980’s to 2010’s)",,1
social equity,Wbpoverty,Income share held by fourth 20%,SI.DST.04TH.20,ratio,100,0,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,pct,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles. Percentage shares by quintile may not sum to 100 because of rounding.,,-1
social equity,Wbpoverty,Income share held by highest 10%,SI.DST.10TH.10,ratio,100,0,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,pct,Percentage share of income or consumption is the share that accrues to subgroups of population indicated by deciles or quintiles.,,-1
social equity,Wbpoverty,Poverty headcount ratio at $5 a day (PPP),SI.POV.5DAY,ratio,100,0,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,pct,Poverty headcount ratio at $5 a day (PPP) (% of population),,-1
social equity,Wbpoverty,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,ratio,100,0,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,pct,National poverty headcount ratio is the percentage of the population living below the national poverty lines. National estimates are based on population-weighted subgroup estimates from household surveys.,,-1
social equity,Wbpoverty,Poverty headcount ratio at national definition including non-comparable values,SI.POV.NAHC.NC,ratio,100,0,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,pct,Poverty headcount ratio at national definition including non-comparable values (% of population),,-1
social equity,Wbpoverty,GINI index (World Bank estimate),SI.POV.GINI,,1,0,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,,"Gini index measures the extent to which the distribution of income (or, in some cases, consumption expenditure) among individuals or households within an economy deviates from a perfectly equal distribution. A Lorenz curve plots the cumulative percentages of total income received against the cumulative number of recipients, starting with the poorest individual or household. The Gini index measures the area between the Lorenz curve and a hypothetical line of absolute equality, expressed as a percentage of the maximum area under the line. Thus a Gini index of 0 represents perfect equality, while an index of 100 implies perfect inequality.",,-1
social equity,Wbpoverty,Poverty gap at $5 a day (PPP) (%),SI.POV.GAP5,,high,low,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,,"Poverty gap is the mean shortfall from the poverty line (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence.",,-1
social equity,Wbpoverty,Poverty gap at national poverty lines (%),SI.POV.NAGP,,high,low,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,,Poverty gap at national poverty lines is the mean shortfall from the poverty lines (counting the nonpoor as having zero shortfall) as a percentage of the poverty lines. This measure reflects the depth of poverty as well as its incidence.,,-1
social equity,Wbpoverty,"Poverty gap at national poverty lines (%), including noncomparable values",SI.POV.NAGP.NC,,high,low,Poverty-Data.csv,G:\Documents\PostDocKVA\Data\WorldBank\PovertyEquityDB,,Poverty gap at national poverty lines is the mean shortfall from the poverty lines (counting the nonpoor as having zero shortfall) as a percentage of the poverty lines. This measure reflects the depth of poverty as well as its incidence.,,-1
gender,QoG,Share of Women (Lower House),ipu_l_sw,ratio,0,100,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,pct,"Share of Women (Lower House) (N=191, 1997-2007). Share of Women (Lower House)",,1
gender,QoG,Women’s Political Rights,ciri_wopol,ordinal,0,3,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Women’s Political Rights (1981-2011). Women’s political rights include a number of internationally recognized rights. These rights include The right to vote, The right to run for political o_ce, The right to hold elected and appointed government positions, The right to join political parties, The right to petition government officials. A score of 0 indicates that women’s political rights were not guaranteed by law during a given year. A score of 1 indicates that women’s political rights were guaranteed in law, but severely prohibited in practice. A score of 2 indicates that women’s political rights were guaranteed in law, but were still moderately prohibited in practice. Finally, a score of 3 indicates that women’s political rights were guaranteed in both law and practice.",,1
gender,QoG,Women’s Economic Rights,ciri_wecon,ordinal,0,3,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Women’s Economic Rights (1981-2011). Women’s economic rights include a number of internationally recognized rights. These rights include: Equal pay for equal work, Free choice of profession or employment without the need to obtain a husband or male relative’s consent, The right to gainful employment without the need to obtain a husband or male relative’s consent, Equality in hiring and promotion practices, Job security (maternity leave, unemployment benefits, no arbitrary hiring or layoffs, etc…), Non-discrimination by employers, The right to be free from sexual harassment in the workplace, The right to work at night, The right to work in occupations classified as dangerous, The right to work in the military and the police force. A score of 0 indicates that there were no economic rights for women in law and that systematic discrimination based on sex may have been built into law. A score of 1 indicates that women had some economic rights under law, but these rights were not effectively enforced. A score of 2 indicates that women had some economic rights under law, and the government effectively enforced these rights in practice while still allowing a low level of discrimination against women in economic matters. Finally, a score of 3 indicates that all or nearly all of women’s economic rights were guaranteed by law and the government fully and vigorously enforces these laws in practice.",,1
voice,QoG,Workers Rights,ciri_worker,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Workers Rights (1981-2011). Workers should have freedom of association at their workplaces and the right to bargain collectively with their employers. This variable indicates the extent to which workers enjoy these and other internationally recognized rights at work, including a prohibition on the use of any form of forced or compulsory labor; a minimum age for the employment of children; and acceptable conditions of work with respect to minimum wages, hours of work, and occupational safety and health. A score of 0 indicates that workers' rights were severely restricted; a score of 1 indicates that workers' rights were somewhat restricted; and a score of 2 indicates that workers' rights were fully protected during the year in question.",,1
gender,QoG,Women’s Social Rights,ciri_wosoc,ordinal,0,3,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Women’s Social Rights (1981-2011). Women’s social rights include a number of internationally recognized rights. These rights include: The right to equal inheritance, The right to enter into marriage on a basis of equality with men, The right to travel abroad, The right to obtain a passport, The right to confer citizenship to children or a husband, The right to initiate a divorce, The right to own, acquire, manage, and retain property brought into marriage, The right to participate in social, cultural, and community activities, The right to an education, The freedom to choose a residence/domicile, Freedom from female genital mutilation of children and of adults without their consent, Freedom from forced sterilization. A score of 0 indicates that there were no social rights for women in law and that systematic discrimination based on sex may have been built into law. A score of 1 indicates that women had some social rights under law, but these rights were not e_ectively enforced. A score of 2 indicates that women had some social rights under law, and the government e_ectively enforced these rights in practice while still allowing a low level of discrimination against women in social matters. Finally, a score of 3 indicates that all or nearly all of women’s social rights were guaranteed by law and the government fully and vigorously enforced these laws in practice. Note: This Variable was retired as of 2005.",,1
governance,QoG,Control of Corruption - Estimate,wbgi_cce,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Control of Corruption - Estimate (N=193, 1996-2012, mean=0, sd=1). Control of Corruption - Estimate: “Control of Corruption” measures perceptions of corruption, conventionally de ned as the exercise of public power for private gain. The particular aspect of corruption measured by the various sources diers somewhat, ranging from the frequency of “additional payments to get things done”, to the eects of corruption on the business environment, to measurin “grand corruption” in the political arena or in the tendency of elite forms to engage in “state capture”.",,1
governance,QoG,Government Effectiveness,wbgi_gee,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Government Eectiveness - Estimate (N=193, 1996-2012, mean=0, sd=1). Government Eectiveness - Estimate: “Government Eectiveness” combines into a single grouping responses on the quality of public service provision, the quality of the bureaucracy, the competence of civil servants, the independence of the civil service from political pressures, and the credibility of the government’s commitment to policies. The main focus of this index is on “inputs” required for the government to be able to produce and implement good policies and deliver public goods.",,1
governance,QoG,Political Stability - Estimate,wbgi_pse,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Political Stability - Estimate (N=195, 1996-2012, mean=0, sd=1). Political Stability - Estimate: “Political Stability” combines several indicators which measure perceptions of the likelihood that the government in power will be destabilized or overthrown by possibly unconstitutional and/or violent means, including domestic violence and terrorism.",,1
governance,QoG,Rule of Law - Estimate,wbgi_rle,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Rule of Law - Estimate (N=195, 1996-2012, mean=0, sd=1). Rule of Law - Estimate: “Rule of Law” includes several indicators which measure the extent to which agents have con dence in and abide by the rules of society. These include perceptions of the incidence of crime, the eectiveness and predictability of the judiciary, and the enforceability of contracts. Together, these indicators measure the success of a society in developing an environment in which fair and predictable rules form the basis for economic and social interactions and the extent to which property rights are protected.",,1
governance,QoG,Contestation (standardized version),cam_contest,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"“Contestation and Inclusiveness, (1950-2000) These are the two principal components of 13-15 indicators of democracy, including those compiled by Freedom House; Polity; Arthur Banks; Alvarez, Cheibub, Limongi, and Przeworski, as updated by Cheibub and Gandhi; Bollen; and Cingranelli and Richards. The dataset covers most countries in the world from 1950 through 2000. In an article in the Journal of Politics (July 2008), Angel Alvarez, Claudia Maldonado, and I argue that these principal components, which capture 75 percent of variation in the most commonly used democracy indicators, measure Robert Dahl’s two dimensions of polyarchy: contestation and inclusiveness. We recommend that scholars use the standardized versions of these components (CONTESTstd and INCLUSstd), which have been adjusted to be comparable from year to year.”",,1
governance,QoG,Inclusiveness (standardized version),cam_inclusive,con,low,high,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"“Contestation and Inclusiveness, (1950-2000) These are the two principal components of 13-15 indicators of democracy, including those compiled by Freedom House; Polity; Arthur Banks; Alvarez, Cheibub, Limongi, and Przeworski, as updated by Cheibub and Gandhi; Bollen; and Cingranelli and Richards. The dataset covers most countries in the world from 1950 through 2000. In an article in the Journal of Politics (July 2008), Angel Alvarez, Claudia Maldonado, and I argue that these principal components, which capture 75 percent of variation in the most commonly used democracy indicators, measure Robert Dahl’s two dimensions of polyarchy: contestation and inclusiveness. We recommend that scholars use the standardized versions of these components (CONTESTstd and INCLUSstd), which have been adjusted to be comparable from year to year.”",,1
governance,QoG,Independence of the Judiciary,ciri_injud,ordinal,0,2,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Independence of the Judiciary This variable indicates the extent to which the judiciary is independent of control from other sources, such as another branch of the government or the military. A score of 0 indicates “not independent”“, a score of 1 indicates”partially independent“” and a score of 2 indicates “generally independent”.",,1
governance,QoG,Freedom House/Imputed Polity,fh_ipolity2,con,0,10,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom House/Imputed Polity (N=207, 1972-2012, [0:10]). Scale ranges from 0-10 where 0 is least democratic and 10 most democratic. Average of Freedom House (fh_pr and fh_cl) is transformed to a scale 0-10 and Polity (p_polity2) is transformed to a scale 0-10. These variables are averaged into fh_polity2. The imputed version has imputed values for countries where data on Polity is missing by regressing Polity on the average Freedom House measure. Hadenius & Teorell (2005) show that this average index performs better both in terms of validity and reliability than its constituent parts.",,1
governance,QoG,Freedom House/Polity,fh_polity2,con,0,10,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Freedom House/Polity (N=179, 1972-2012, [0:10]). Scale ranges from 0-10 where 0 is least democratic and 10 most democratic. Average of Freedom House (fh_pr and fh_cl) is transformed to a scale 0-10 and Polity (p_polity2) is transformed to a scale 0-10. These variables are averaged into fh_polity2.",,1
governance,QoG,Political Rights,fh_pr,ordinal,7,1,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Political Rights (N=207, 1972-2012, [0:7]). Political rights enable people to participate freely in the political process, including the right to vote freely for distinct alternatives in legitimate elections, compete for public o ce, join political parties and organizations, and elect representatives who have a decisive impact on public policies and are accountable to the electorate. The speci c list of rights considered varies over the years. Countries are graded between 1 (most free) and 7 (least free).",,-1
governance,QoG,Status,fh_status,ordinal,7,1,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Status (N=207, 1972-2012, [0:7]). (1) Free. (2) Partly Free. (3) Not Free. Until 2003, countries whose combined average ratings for Political Rights and Civil Liberties fell between 1.0 and 2.5 were designated “Free”“; between 3.0 and 5.5”Partly Free“”, and between 5.5 and 7.0 “Not Free”. Since then, countries whose ratings average 1.0 to 2.5 are considered “Free”“, 3.0 to 5.0”Partly Free“, and 5.5 to 7.0”Not Free“.",,-1
governance,QoG,Political Constraints Index III,h_polcon3,con,1,0,qog_bas_ts_jan15.csv,G:\Documents\PostDocKVA\Data\QOG,,"Political Constraints Index III (N=201, 1946-2012, [0:1]). This index measures the feasibility of policy change, i.e. the extent to which a change in the preferences of any one political actor may lead to a change in government policy. The index is composed from the following information: the number of independent branches of government with veto power over policy change, counting the executive and the presence of an eective lower and upper house in the legislature (more branches leading to more constraint); the extent of party alignment across branches of government, measured as the extent to which the same party or coalition of parties control each branch (decreasing the level of constraint); and the extent of preference heterogeneity within each legislative branch, measured as legislative fractionalization in the relevant house (increasing constraint for aligned executives, decreasing it for opposed executives). The index scores are derived from a simple spatial model and theoretically ranges from 0 to 1, with higher scores indicating more political constraint and thus less feasibility of policy change. Note that the coding re ects information as of January 1 in any given year. Henisz (2002) uses this index to demonstrate that political environments that limit the feasibility of policy change are an important determinant of investment in infrastructure.",,-1
